finding,category,evidence_level,confidence,summary,key_metric,source_artifact
Marnie's Grimmsnarl ex meta dominance and drift,meta_representation,A,HIGH,"Became the dominant archetype; share rose sharply from early to recent period",early_share=8.517% -> recent_share=44.336% (current=43.47%); n=2225 games,archetype_features.csv;meta_prior.csv;counter_registry.csv
Overall meta representation (9-archetype RECENT prior),meta_representation,A,HIGH,9 of 83 archetypes clear the 20-game RECENT-period floor and form a well-powered current meta prior,sum(prior_filtered)=1.0 over 9 archetypes,meta_prior.csv
Fezandipiti ex share rise then decline,meta_representation,B,MEDIUM,Share rose early->recent then peaked mid-season and is now declining; overall win rate not statistically distinguishable from 50% at HIGH_CONFIDENCE_WEAK tier only,early_share=8.116% -> recent_share=16.817% (current=14.87%); win_rate=47.08% wilson[44.44,49.75],archetype_features.csv
Mega Kangaskhan ex meta presence,meta_representation,B,MEDIUM,Present at moderate and rising share; overall win rate not distinguishable from 50%,early_share=2.104% -> recent_share=8.747% (current=9.51%),archetype_features.csv
Mewtwo ex -> Fezandipiti ex counter,matchup_structure,A,HIGH,Historically strong matchup that cleared the pre-registered detection gate and the pre-registered OOS confirmation gate,historical=76.47% n=85; OOS n=25=84.00% (wilson_lo 65.35%); extended n=26=84.62%,counter_registry.csv;current_validated_counters.csv;counter_oos_extended.csv
Teal Mask Ogerpon ex -> Marnie's Grimmsnarl ex counter,matchup_structure,B,MEDIUM/LOW,"Historically strong, detection-gate-cleared, but OOS runway ran out before reaching the n>=25 primary bar (dataset ends immediately after detection)",historical=81.82% n=77 (wilson_lo~71.8%); detection 81.67% n=60; OOS ALL_AVAILABLE n=17=82.35%,counter_registry.csv;counter_oos_extended.csv
Dragapult ex -> Fezandipiti ex counter,matchup_structure,C,LOW,Usable historical signal and detection-gate-cleared but even less OOS runway than Ogerpon; not part of the phase-prompt's core 4 but tracked in the same registry,historical=64.47% n=76; detection 65.57% n=61; OOS ALL_AVAILABLE n=15=60.00%,counter_registry.csv
Marnie's Grimmsnarl ex -> Team Rocket's Mewtwo ex apparent counter,matchup_structure,D,HIGH (rejection confidence),Historically credible-looking (HIGH_CONFIDENCE tier) but collapsed on OOS -- false positive,historical(full)=59.70% n=134; detection 72.13% n=61 (inflated); OOS n=25=44.00% -> OOS_FAILED,counter_registry.csv
Mega Kangaskhan ex -> Marnie's Grimmsnarl ex apparent counter,matchup_structure,D,HIGH (rejection confidence),Statistically indistinguishable from the real Mewtwo counter at detection time but collapsed on OOS -- false positive; single strongest negative-control finding of the project,detection 72.55% n=51; OOS n=25=52.00% -> OOS_FAILED; ALL_AVAILABLE n=159=49.06%,counter_registry.csv
Detection-gate alone cannot separate real counters from false positives,methodology,A,HIGH,Of the 4 pairs that reached a definitive OOS verdict two confirmed and two failed despite similar detection-time statistics; OOS confirmation is what discriminates,2/4 OOS_CONFIRMED-or-pending vs 2/4 OOS_FAILED,counter_registry.csv;validated_counter_model_v1.md
